Drug,Class_ID,Classification
diphtheria antitoxin,J06AA01,Immune sera and immunoglobulins
lidocaine,N01BB02,Anesthetics
enzalutamide,L02BB04,Endocrine therapy
nifurtimox,P01CC01,Antiprotozoals
mesalazine,A07EC02,Antidiarrheals
sodium benzoate,A16AX11,Other alimentary tract and metabolism products
acetylcysteine,S01XA08,Ophthalmologicals
diethylstilbestrol,L02AA01,Endocrine therapy
ibacitabine,D06BB08,Antibiotics and chemotherapeutics for dermatological use
calcium lactate gluconate,A12AA06,Mineral supplements
Other ophthalmologicals in ATC,S01XA,Ophthalmologicals
"bucetin, combinations with psycholeptics",N02BE74,Analgesics
ceratonia,A07XA02,Antidiarrheals
brucella antigen,J07AD01,Vaccines
"acetylsalicylic acid, combinations excl. psycholeptics",N02BA51,Analgesics
tipranavir,J05AE09,Antivirals for systemic use
calcipotriol,D05AX02,Antipsoriatics
feather,V01AA01,Allergens
tolazamide,A10BB05,Drugs used in diabetes
Third-generation cephalosporins,J01DD,Antibacterials for systemic use
Diphenylpropylamine derivative analgesics,N02AC,Analgesics
"Tetracycline and derivatives, topical antibiotics",D06AA,Antibiotics and chemotherapeutics for dermatological use
framycetin,R01AX08,Nasal preparations
digitoxin,C01AA04,Cardiac therapy
amlexanox,R03DX01,Drugs for obstructive airway diseases
butobarbital,N05CA03,Psycholeptics
"Beta blocking agents, selective, and vasodilators",C07EB,Beta blocking agents
"alverine, combinations",A03AX58,Drugs for functional gastrointestinal disorders
trifluridine,S01AD02,Ophthalmologicals
conivaptan,C03XA02,Diuretics
Other sclerosing agents in ATC,C05BX,Vasoprotectives
Enzyme,T126,NA
"Phenothiazines with aliphatic side-chain, antipsychotics",N05AA,Psycholeptics
nabilone,A04AD11,Antiemetics and antinauseants
streptomycin,A07AA04,Antidiarrheals
chlortalidone and potassium,C03BB04,Diuretics
sodium iodide (123I),V09FX02,Diagnostic radiopharmaceuticals
salbutamol and ipratropium bromide,R03AL02,Drugs for obstructive airway diseases
cefixime,J01DD08,Antibacterials for systemic use
beta-Adrenergic Blocking Agents,C07,Beta blocking agents
sorbitol,A06AG07,Drugs for constipation
tilbroquinol,P01AA05,Antiprotozoals
"doxylamine, combinations",R06AA59,Antihistamines for systemic use
fexinidazole,P01CA03,Antiprotozoals
avanafil,G04BE10,Urologicals
Other antimycotics for systemic use in ATC,J02AX,Antimycotics for systemic use
"methadone, combinations excl. psycholeptics",N02AC52,Analgesics
benzalkonium,R02AA16,Throat preparations
methylestrenolone,G03DC31,Sex hormones and modulators of the genital system
Corticosteroids,S03BA,Ophthalmological and otological preparations
pivagabine,N06AX15,Psychoanaleptics
chlorothiazide,C03AA04,Diuretics
zinc protein complex,A12CB03,Mineral supplements
ketazolam,N05BA10,Psycholeptics
"loperamide, combinations",A07DA53,Antidiarrheals
Sulfonylureas for blood glucose lowering,A10BB,Drugs used in diabetes
oxycodone and ibuprofen,N02AJ19,Analgesics
ivermectin,P02CF01,Anthelmintics
codeine and paracetamol,N02AJ06,Analgesics
"Beta blocking agents, non-selective, and other diuretics",C07CA,Beta blocking agents
"Blood transfusion, auxiliary products",V07AC,All other non-therapeutic products
"hyaluronic acid, combinations",S01KA51,Ophthalmologicals
Vitamins with minerals,A11JB,Vitamins
phenol,R02AA19,Throat preparations
veratrum and diuretics,C02LK01,Antihypertensives
benzalkonium,D09AA11,Medicated dressings
"alendronic acid, calcium and colecalciferol, sequential",M05BB05,Drugs for treatment of bone diseases
ocriplasmin,S01XA22,Ophthalmologicals
dicoumarol,B01AA01,Antithrombotic agents
atosiban,G02CX01,Other gynecologicals
glycerol,A06AX01,Drugs for constipation
fluticasone furoate,R01AD12,Nasal preparations
selenium (75Se) norcholesterol,V09XX03,Diagnostic radiopharmaceuticals
famotidine,A02BA03,Drugs for acid related disorders
sodium apolate,C05BA02,Vasoprotectives
budesonide,R03BA02,Drugs for obstructive airway diseases
teriflunomide,L04AA31,Immunosuppressants
folic acid,B03BB01,Antianemic preparations
"pertussis, purified antigen, combinations with toxoids",J07AJ52,Vaccines
"typhoid, oral, live attenuated",J07AP01,Vaccines
bromisoval,N05CM03,Psycholeptics
Protectives against UV-radiation for topical use,D02BA,Emollients and protectives
MUSCULO-SKELETAL SYSTEM DRUGS,M,NA
"clioquinol, combinations",P01AA52,Antiprotozoals
epinastine,R06AX24,Antihistamines for systemic use
dasiprotimut-T,L03AX19,Immunostimulants
BCG vaccine,L03AX03,Immunostimulants
gestrinone,G03XA02,Sex hormones and modulators of the genital system
theophylline and adrenergics,R03DB04,Drugs for obstructive airway diseases
alendronic acid,M05BA04,Drugs for treatment of bone diseases
macrogol,A06AD15,Drugs for constipation
"rubella, live attenuated",J07BJ01,Vaccines
"senna glycosides, combinations",A06AB56,Drugs for constipation
dexamethasone,H02AB02,Corticosteroids for systemic use
rose bengal sodium,S01JA02,Ophthalmologicals
ditazole,B01AC01,Antithrombotic agents
isocarboxazid,N06AF01,Psychoanaleptics
Paramagnetic contrast media,V08CA,Contrast media
conjugated estrogens and bazedoxifene,G03CC07,Sex hormones and modulators of the genital system
gadobenic acid,V08CA08,Contrast media
raltegravir,J05AX08,Antivirals for systemic use
iomeprol,V08AB10,Contrast media
droxypropine,R05DB17,Cough and cold preparations
hemophilus influenzae B and hepatitis B,J07CA08,Vaccines
tizanidine,M03BX02,Muscle relaxants
triclosan,D08AE04,Antiseptics and disinfectants
epinephrine,B02BC09,Antihemorrhagics
ixabepilone,L01DC04,Antineoplastic agents
Psoralens for systemic use,D05BA,Antipsoriatics
lansoprazole,A02BC03,Drugs for acid related disorders
rhenium (186Re) sulfide colloid,V10AX05,Therapeutic radiopharmaceuticals
OTHER HEMATOLOGICAL AGENTS in ATC,B06,Other hematological agents
simvastatin and fenofibrate,C10BA04,Lipid modifying agents
mebhydrolin,R06AX15,Antihistamines for systemic use
megestrol and ethinylestradiol,G03AA04,Sex hormones and modulators of the genital system
bendazac,S01BC07,Ophthalmologicals
cyproheptadine,R06AX02,Antihistamines for systemic use
Esters of benzoic acid for local anesthesia,N01BC,Anesthetics
ticlatone,D01AE08,Antifungals for dermatological use
miconazole,G01AF04,Gynecological antiinfectives and antiseptics
aluminium phosphate,A02AB03,Drugs for acid related disorders
digitalis antitoxin,V03AB24,All other therapeutic products
isoprenaline,R03AB02,Drugs for obstructive airway diseases
dipivefrine,S01EA02,Ophthalmologicals
dihexyverine,A03AA08,Drugs for functional gastrointestinal disorders
kebuzone,M01AA06,Anti-inflammatory and antirheumatic products
dydrogesterone and estrogen,G03FA14,Sex hormones and modulators of the genital system
"Halogenated hydrocarbons, general anesthetics",N01AB,Anesthetics
OTHER ANABOLIC AGENTS in ATC,A14B,Anabolic agents for systemic use
disopyramide,C01BA03,Cardiac therapy
ornithine oxoglurate,A05BA06,Bile and liver therapy
trilostane,H02CA01,Corticosteroids for systemic use
dexlansoprazole,A02BC06,Drugs for acid related disorders
idursulfase,A16AB09,Other alimentary tract and metabolism products
Emergency contraceptive drugs,G03AD,Sex hormones and modulators of the genital system
fluciclovine (18F),V09IX12,Diagnostic radiopharmaceuticals
flecainide,C01BC04,Cardiac therapy
Dopa and dopa derivatives,N04BA,Anti-parkinson drugs
"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,Lipid modifying agents
"Fluoroquinolone antiinfectives, ophthalmologic",S01AE,Ophthalmologicals
tebipenem pivoxil,J01DH06,Antibacterials for systemic use
ALLERGENS,V01A,Allergens
Other ophthalmological diagnostic agents in ATC,S01JX,Ophthalmologicals
cyclofenil,G03GB01,Sex hormones and modulators of the genital system
Corticosteroids and antiinfectives in combination,S02CA,Otologicals
acetylglycinamide chloral hydrate,N05CC03,Psycholeptics
Other respiratory system diagnostic radiopharmaceuticals in ATC,V09EX,Diagnostic radiopharmaceuticals
inotuzumab ozogamicin,L01XC26,Antineoplastic agents
fentanyl,N01AH01,Anesthetics
mometasone,R01AD09,Nasal preparations
thonzylamine,R06AC06,Antihistamines for systemic use
stibophen,P02BX03,Anthelmintics
eflornithine,D11AX16,Other dermatological preparations
norethisterone and estrogen,G03FA01,Sex hormones and modulators of the genital system
amcinonide,D07AC11,Corticosteroids
lactitol,A06AD12,Drugs for constipation
broxyquinoline,A07AX01,Antidiarrheals
"Phenothiazines with piperidine structure, antipsychotics",N05AC,Psycholeptics
SPECIFIC ANTIRHEUMATIC AGENTS,M01C,Anti-inflammatory and antirheumatic products
metformin and pioglitazone,A10BD05,Drugs used in diabetes
Oripavine derivatives analgesics,N02AE,Analgesics
aluminium chlorohydrate,D09AA08,Medicated dressings
quazepam,N05CD10,Psycholeptics
"Ethers chemically close to antihistamines, anticholinergic",N04AB,Anti-parkinson drugs
clofenamide,C03BA07,Diuretics
vinpocetine,N06BX18,Psychoanaleptics
oxytetracycline,S01AA04,Ophthalmologicals
tenecteplase,B01AD11,Antithrombotic agents
"rosuvastatin, perindopril and indapamide",C10BX13,Lipid modifying agents
tigecycline,J01AA12,Antibacterials for systemic use
nalorphine,V03AB02,All other therapeutic products
miltefosine,L01XX09,Antineoplastic agents
Mercurial diuretics,C03BC,Diuretics
clevudine,J05AF12,Antivirals for systemic use
oxolinic acid,J01MB05,Antibacterials for systemic use
"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07,Antidiarrheals
"Dantrolene and derivatives, muscle relaxants, direct acting",M03CA,Muscle relaxants
"Amphenicol antibacterials, systemic",J01BA,Antibacterials for systemic use
trastuzumab emtansine,L01XC14,Antineoplastic agents
fluocortolone and antibiotics,D07CC06,Corticosteroids
pristinamycin,J01FG01,Antibacterials for systemic use
ethadione,N03AC03,Antiepileptics
edrecolomab,L01XC01,Antineoplastic agents
dasabuvir,J05AP09,Antivirals for systemic use
fipexide,N06BX05,Psychoanaleptics
Sympathomimetics excl. antiglaucoma preparations,S01FB,Ophthalmologicals
alfacalcidol,A11CC03,Vitamins
ferristene,V08CB02,Contrast media
NASAL PREPARATIONS,R01,Nasal preparations
suxamethonium,M03AB01,Muscle relaxants
combinations of penicillins,J01CR50,Antibacterials for systemic use
isavuconazole,J02AC05,Antimycotics for systemic use
Pathologic Function,T046,NA
cyanocobalamin,B03BA01,Antianemic preparations
epinephrine,R01AA14,Nasal preparations
cafedrine,C01CA21,Cardiac therapy
Direct factor Xa inhibitors,B01AF,Antithrombotic agents
paliperidone,N05AX13,Psycholeptics
imipramine oxide,N06AA03,Psychoanaleptics
inulin and other polyfructosans,V04CH01,Diagnostic agents
opium alkaloids and derivative combination cough suppressants,R05DA20,Cough and cold preparations
loteprednol,S01BA14,Ophthalmologicals
cobamamide,B03BA04,Antianemic preparations
pentoxyverine,R05DB05,Cough and cold preparations
insulin (pork),A10AD03,Drugs used in diabetes
octinoxate,D02BA02,Emollients and protectives
diphenhydramine,D04AA32,Antipruritics
streptoduocin,J01GA02,Antibacterials for systemic use
salmeterol,R03AC12,Drugs for obstructive airway diseases
meprobamate,N05BC01,Psycholeptics
Other cough suppressants in ATC,R05DB,Cough and cold preparations
althea root,R05CA05,Cough and cold preparations
Low-energy diet formulations for treatment of obesity,V06AA,General nutrients
minocycline,A01AB23,Stomatological preparations
lamivudine and tenofovir disoproxil,J05AR12,Antivirals for systemic use
"sofosbuvir, velpatasvir and voxilaprevir",J05AP56,Antivirals for systemic use
quingestanol,G03AC04,Sex hormones and modulators of the genital system
methylscopolamine and psycholeptics,A03CB01,Drugs for functional gastrointestinal disorders
eflornithine,P01CX03,Antiprotozoals
"gefarnate, combinations with psycholeptics",A02BX77,Drugs for acid related disorders
"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",C09C,Agents acting on the renin–angiotensin system
Aromatase inhibitors,L02BG,Endocrine therapy
CONTRACEPTIVES FOR TOPICAL USE,G02B,Other gynecologicals
procaine,N01BA02,Anesthetics
VITAMIN B12 AND FOLIC ACID,B03B,Antianemic preparations
atenolol,C07AB03,Beta blocking agents
fludroxycortide and antibiotics,D07CC03,Corticosteroids
Other drugs for treatment of tuberculosis in ATC,J04AK,Antimycobacterials
"isosorbide dinitrate, combinations",C01DA58,Cardiac therapy
bimatoprost,S01EE03,Ophthalmologicals
virginiamycin,D06AX10,Antibiotics and chemotherapeutics for dermatological use
Guanine derivatives acting on arteriolar smooth muscle,C02DG,Antihypertensives
"palonosetron, combinations",A04AA55,Antiemetics and antinauseants
"Antiallergic intestinal antiinflammatory drugs, excl. corticosteroids",A07EB,Antidiarrheals
Dopamine agonists,N04BC,Anti-parkinson drugs
cefacetrile,J01DB10,Antibacterials for systemic use
triamcinolone and antiseptics,D07BB03,Corticosteroids
meloxicam,M01AC06,Anti-inflammatory and antirheumatic products
piribedil,N04BC08,Anti-parkinson drugs
CORTICOSTEROIDS FOR SYSTEMIC USE,H02,Corticosteroids for systemic use
ataluren,M09AX03,Other drugs for disorders of the musculo-skeletal system
thrombocytes,B05AX02,Blood substitutes and perfusion solutions
retinol,S01XA02,Ophthalmologicals
nimesulide,M02AA26,Topical products for joint and muscular pain
"Enzymes, hematological",B06AA,Other hematological agents
iodine (125I) CC49-monoclonal antibody,V09IX03,Diagnostic radiopharmaceuticals
tenonitrozole,P01AX08,Antiprotozoals
methyltestosterone,G03EK01,Sex hormones and modulators of the genital system
terconazole,G01AG02,Gynecological antiinfectives and antiseptics
Other respiratory system products in ATC,R07AX,Other respiratory system products
cyproterone,G03HA01,Sex hormones and modulators of the genital system
chlortetracycline,D06AA02,Antibiotics and chemotherapeutics for dermatological use
anti-D (rh) immunoglobulin,J06BB01,Immune sera and immunoglobulins
Other antipsoriatics for systemic use in ATC,D05BX,Antipsoriatics
Other drugs for functional gastrointestinal disorders in ATC,A03AX,Drugs for functional gastrointestinal disorders
calcium carbonate,A02AC01,Drugs for acid related disorders
"metipranolol, combinations",S01ED54,Ophthalmologicals
ipidacrine,N06DA05,Psychoanaleptics
alverine,A03AX08,Drugs for functional gastrointestinal disorders
suloctidil,C04AX19,Peripheral vasodilators
corticorelin,V04CD04,Diagnostic agents
Long-acting sulfonamide combinations,J01ED20,Antibacterials for systemic use
sulfadimidine and trimethoprim,J01EE05,Antibacterials for systemic use
inosine,D06BB05,Antibiotics and chemotherapeutics for dermatological use
cefteram,J01DD18,Antibacterials for systemic use
ceftazidime,J01DD02,Antibacterials for systemic use
Anticholinesterase anti-dementia drugs,N06DA,Psychoanaleptics
Other cardiovascular system diagnostic radiopharmaceuticals in ATC,V09GX,Diagnostic radiopharmaceuticals
midostaurin,L01XE39,Antineoplastic agents
nemonoxacin,J01MB08,Antibacterials for systemic use
"oxyphenonium, combinations",A03AB53,Drugs for functional gastrointestinal disorders
tramadol and paracetamol,N02AJ13,Analgesics
chlorpropamide,A10BB02,Drugs used in diabetes
etofamide,P01AC03,Antiprotozoals
bezitramide,N02AC05,Analgesics
cefmenoxime,J01DD05,Antibacterials for systemic use
acetyldigitoxin,C01AA01,Cardiac therapy
aprindine,C01BB04,Cardiac therapy
Other quinolones in ATC,J01MB,Antibacterials for systemic use
"mephenytoin, combinations",N03AB54,Antiepileptics
amsacrine,L01XX01,Antineoplastic agents
griseofulvin,D01BA01,Antifungals for dermatological use
clindamycin,G01AA10,Gynecological antiinfectives and antiseptics
Other psychostimulants and nootropics in ATC,N06BX,Psychoanaleptics
escitalopram,N06AB10,Psychoanaleptics
gastric secretion test diagnostic agents,V04CG,Diagnostic agents
hidrosmin,C05CA05,Vasoprotectives
ranolazine,C01EB18,Cardiac therapy
prednisolone,S03BA02,Ophthalmological and otological preparations
clioquinol,P01AA02,Antiprotozoals
NERVOUS SYSTEM DRUGS,N,NA
triflupromazine,N05AA05,Psycholeptics
etynodiol,G03DC06,Sex hormones and modulators of the genital system
donepezil and memantine,N06DA52,Psychoanaleptics
micafungin,J02AX05,Antimycotics for systemic use
ipriflavone,M05BX01,Drugs for treatment of bone diseases
dactinomycin,L01DA01,Antineoplastic agents
nafcillin,J01CF06,Antibacterials for systemic use
trabectedin,L01CX01,Antineoplastic agents
temozolomide,L01AX03,Antineoplastic agents
cadmium compounds,D11AC02,Other dermatological preparations
dibrompropamidine,D08AC01,Antiseptics and disinfectants
Ergot alkaloid peripheral vasodilators,C04AE,Peripheral vasodilators
cisatracurium,M03AC11,Muscle relaxants
Bioflavonoid drugs for capillary stabilizing,C05CA,Vasoprotectives
pitavastatin,C10AA08,Lipid modifying agents
BILE THERAPY DRUGS,A05A,Bile and liver therapy
"orphenadrine, combinations",M03BC51,Muscle relaxants
sotalol,C07AA07,Beta blocking agents
"ECTOPARASITICIDES, INCL. SCABICIDES",P03A,Ectoparasiticides
arbekacin,J01GB12,Antibacterials for systemic use
plerixafor,L03AX16,Immunostimulants
diphemanil and psycholeptics,A03CA08,Drugs for functional gastrointestinal disorders
