Drug,CHEMBL,ATC
"Beta blocking agents, selective, and vasodilators",CHEMBL6995,C07EB
"alverine, combinations",CHEMBL1408594,A03AX58
trifluridine,CHEMBL1129,S01AD02
conivaptan,CHEMBL1755,C03XA02
Other sclerosing agents in ATC,CHEMBL3527138,C05BX
Enzyme,CHEMBL1159823,T126
"Phenothiazines with aliphatic side-chain, antipsychotics",CHEMBL71,N05AA
nabilone,CHEMBL2218896,A04AD11
streptomycin,CHEMBL1201194,A07AA04
chlortalidone and potassium,CHEMBL3989462,C03BB04
sodium iodide (123I),CHEMBL1201083,V09FX02
salbutamol and ipratropium bromide,CHEMBL2134724,R03AL02
cefixime,CHEMBL1541,J01DD08
beta-Adrenergic Blocking Agents,CHEMBL6995,C07
sorbitol,CHEMBL1682,A06AG07
tilbroquinol,CHEMBL1788385,P01AA05
"doxylamine, combinations",CHEMBL1004,R06AA59
fexinidazole,CHEMBL1631694,P01CA03
avanafil,CHEMBL1963681,G04BE10
Other antimycotics for systemic use in ATC,CHEMBL496957,J02AX
"methadone, combinations excl. psycholeptics",CHEMBL651,N02AC52
benzalkonium,CHEMBL502109,R02AA16
methylestrenolone,CHEMBL2106801,G03DC31
Corticosteroids,CHEMBL1200386,S03BA
pivagabine,CHEMBL1870796,N06AX15
chlorothiazide,CHEMBL1200616,C03AA04
zinc protein complex,CHEMBL2448378,A12CB03
ketazolam,CHEMBL2104356,N05BA10
"loperamide, combinations",CHEMBL1707,A07DA53
Sulfonylureas for blood glucose lowering,CHEMBL1481,A10BB
oxycodone and ibuprofen,CHEMBL656,N02AJ19
ivermectin,CHEMBL1200633,P02CF01
codeine and paracetamol,CHEMBL1201099,N02AJ06
"Beta blocking agents, non-selective, and other diuretics",CHEMBL266195,C07CA
"Blood transfusion, auxiliary products",CHEMBL2108414,V07AC
"hyaluronic acid, combinations",CHEMBL1697748,S01KA51
Vitamins with minerals,CHEMBL2108504,A11JB
phenol,CHEMBL14060,R02AA19
veratrum and diuretics,CHEMBL1201531,C02LK01
benzalkonium,CHEMBL502109,D09AA11
"alendronic acid, calcium and colecalciferol, sequential",CHEMBL870,M05BB05
ocriplasmin,CHEMBL2095222,S01XA22
dicoumarol,CHEMBL1466,B01AA01
atosiban,CHEMBL382301,G02CX01
glycerol,CHEMBL2105745,A06AX01
fluticasone furoate,CHEMBL1676,R01AD12
selenium (75Se) norcholesterol,CHEMBL3707262,V09XX03
famotidine,CHEMBL902,A02BA03
sodium apolate,CHEMBL3559670,C05BA02
budesonide,CHEMBL1370,R03BA02
teriflunomide,CHEMBL973,L04AA31
folic acid,CHEMBL1622,B03BB01
"pertussis, purified antigen, combinations with toxoids",CHEMBL2109219,J07AJ52
"typhoid, oral, live attenuated",CHEMBL2108778,J07AP01
bromisoval,CHEMBL1515611,N05CM03
Protectives against UV-radiation for topical use,CHEMBL542,D02BA
MUSCULO-SKELETAL SYSTEM DRUGS,CHEMBL256997,M
"clioquinol, combinations",CHEMBL497,P01AA52
epinastine,CHEMBL1200491,R06AX24
dasiprotimut-T,CHEMBL2364642,L03AX19
BCG vaccine,CHEMBL2108905,L03AX03
gestrinone,CHEMBL1868702,G03XA02
theophylline and adrenergics,CHEMBL1200578,R03DB04
alendronic acid,CHEMBL870,M05BA04
macrogol,CHEMBL457299,A06AD15
"rubella, live attenuated",CHEMBL2109225,J07BJ01
"senna glycosides, combinations",CHEMBL2108558,A06AB56
dexamethasone,CHEMBL384467,H02AB02
rose bengal sodium,CHEMBL2359093,S01JA02
ditazole,CHEMBL2104306,B01AC01
isocarboxazid,CHEMBL1201168,N06AF01
Paramagnetic contrast media,CHEMBL1200457,V08CA
conjugated estrogens and bazedoxifene,CHEMBL1201649,G03CC07
gadobenic acid,CHEMBL1200571,V08CA08
raltegravir,CHEMBL254316,J05AX08
iomeprol,CHEMBL2107214,V08AB10
droxypropine,CHEMBL2105053,R05DB17
hemophilus influenzae B and hepatitis B,CHEMBL2108512,J07CA08
tizanidine,CHEMBL1079,M03BX02
triclosan,CHEMBL849,D08AE04
epinephrine,CHEMBL1256958,B02BC09
ixabepilone,CHEMBL1201752,L01DC04
Psoralens for systemic use,CHEMBL496957,D05BA
lansoprazole,CHEMBL480,A02BC03
rhenium (186Re) sulfide colloid,CHEMBL2108009,V10AX05
OTHER HEMATOLOGICAL AGENTS in ATC,CHEMBL3527138,B06
simvastatin and fenofibrate,CHEMBL1201745,C10BA04
mebhydrolin,CHEMBL1625607,R06AX15
megestrol and ethinylestradiol,CHEMBL1201139,G03AA04
bendazac,CHEMBL1089221,S01BC07
cyproheptadine,CHEMBL1716,R06AX02
Esters of benzoic acid for local anesthesia,CHEMBL1160639,N01BC
ticlatone,CHEMBL2103914,D01AE08
miconazole,CHEMBL1559,G01AF04
aluminium phosphate,CHEMBL3707210,A02AB03
digitalis antitoxin,CHEMBL2109172,V03AB24
isoprenaline,CHEMBL1160723,R03AB02
dipivefrine,CHEMBL1201262,S01EA02
dihexyverine,CHEMBL2110912,A03AA08
kebuzone,CHEMBL2107720,M01AA06
dydrogesterone and estrogen,CHEMBL1200853,G03FA14
"Halogenated hydrocarbons, general anesthetics",CHEMBL279816,N01AB
OTHER ANABOLIC AGENTS in ATC,CHEMBL3527138,A14B
disopyramide,CHEMBL1201020,C01BA03
ornithine oxoglurate,CHEMBL3138616,A05BA06
trilostane,CHEMBL1200907,H02CA01
dexlansoprazole,CHEMBL1201863,A02BC06
idursulfase,CHEMBL1201826,A16AB09
Emergency contraceptive drugs,CHEMBL1389,G03AD
fluciclovine (18F),CHEMBL3707267,V09IX12
flecainide,CHEMBL1200822,C01BC04
Dopa and dopa derivatives,CHEMBL1743218,N04BA
"LIPID MODIFYING AGENTS, COMBINATIONS",CHEMBL12055,C10B
"Fluoroquinolone antiinfectives, ophthalmologic",CHEMBL1276635,S01AE
tebipenem pivoxil,CHEMBL2107486,J01DH06
Other ophthalmological diagnostic agents in ATC,CHEMBL3527138,S01JX
cyclofenil,CHEMBL141305,G03GB01
Corticosteroids and antiinfectives in combination,CHEMBL1200452,S02CA
acetylglycinamide chloral hydrate,CHEMBL3707308,N05CC03
Other respiratory system diagnostic radiopharmaceuticals in ATC,CHEMBL2109038,V09EX
inotuzumab ozogamicin,CHEMBL2108611,L01XC26
fentanyl,CHEMBL1201159,N01AH01
mometasone,CHEMBL1201404,R01AD09
thonzylamine,CHEMBL1623738,R06AC06
stibophen,CHEMBL1788389,P02BX03
eflornithine,CHEMBL830,D11AX16
norethisterone and estrogen,CHEMBL3187229,G03FA01
amcinonide,CHEMBL1200732,D07AC11
lactitol,CHEMBL1661,A06AD12
broxyquinoline,CHEMBL223448,A07AX01
"Phenothiazines with piperidine structure, antipsychotics",CHEMBL479,N05AC
SPECIFIC ANTIRHEUMATIC AGENTS,CHEMBL2108943,M01C
metformin and pioglitazone,CHEMBL1431,A10BD05
Oripavine derivatives analgesics,CHEMBL437602,N02AE
aluminium chlorohydrate,CHEMBL2109016,D09AA08
quazepam,CHEMBL1200472,N05CD10
"Ethers chemically close to antihistamines, anticholinergic",CHEMBL3707215,N04AB
clofenamide,CHEMBL1865258,C03BA07
vinpocetine,CHEMBL71752,N06BX18
oxytetracycline,CHEMBL1517,S01AA04
tenecteplase,CHEMBL2108791,B01AD11
"rosuvastatin, perindopril and indapamide",CHEMBL1581,C10BX13
tigecycline,CHEMBL376140,J01AA12
nalorphine,CHEMBL415284,V03AB02
miltefosine,CHEMBL125,L01XX09
Mercurial diuretics,CHEMBL1200943,C03BC
clevudine,CHEMBL4303249,J05AF12
oxolinic acid,CHEMBL416755,J01MB05
"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",CHEMBL2108174,A07
"Dantrolene and derivatives, muscle relaxants, direct acting",CHEMBL1201288,M03CA
"Amphenicol antibacterials, systemic",CHEMBL1236282,J01BA
trastuzumab emtansine,CHEMBL1743082,L01XC14
fluocortolone and antibiotics,CHEMBL2107415,D07CC06
pristinamycin,CHEMBL2146161,J01FG01
ethadione,CHEMBL93047,N03AC03
edrecolomab,CHEMBL2108955,L01XC01
dasabuvir,CHEMBL3137312,J05AP09
fipexide,CHEMBL254857,N06BX05
Sympathomimetics excl. antiglaucoma preparations,CHEMBL647,S01FB
alfacalcidol,CHEMBL2362510,A11CC03
ferristene,CHEMBL2108909,V08CB02
NASAL PREPARATIONS,CHEMBL2105322,R01
suxamethonium,CHEMBL2104486,M03AB01
combinations of penicillins,CHEMBL1200718,J01CR50
isavuconazole,CHEMBL409153,J02AC05
Pathologic Function,CHEMBL2108550,T046
cyanocobalamin,CHEMBL2110563,B03BA01
epinephrine,CHEMBL1256958,R01AA14
cafedrine,CHEMBL2104207,C01CA21
Direct factor Xa inhibitors,CHEMBL231779,B01AF
paliperidone,CHEMBL2107360,N05AX13
imipramine oxide,CHEMBL1614644,N06AA03
inulin and other polyfructosans,CHEMBL1201646,V04CH01
opium alkaloids and derivative combination cough suppressants,CHEMBL2107914,R05DA20
loteprednol,CHEMBL1200865,S01BA14
cobamamide,CHEMBL3833359,B03BA04
pentoxyverine,CHEMBL73234,R05DB05
insulin (pork),CHEMBL1201539,A10AD03
octinoxate,CHEMBL3183184,D02BA02
diphenhydramine,CHEMBL1201089,D04AA32
streptoduocin,CHEMBL3833338,J01GA02
salmeterol,CHEMBL1263,R03AC12
meprobamate,CHEMBL979,N05BC01
Other cough suppressants in ATC,CHEMBL3527138,R05DB
althea root,CHEMBL2108834,R05CA05
Low-energy diet formulations for treatment of obesity,CHEMBL496957,V06AA
minocycline,CHEMBL1200881,A01AB23
lamivudine and tenofovir disoproxil,CHEMBL1486,J05AR12
"sofosbuvir, velpatasvir and voxilaprevir",CHEMBL3545062,J05AP56
quingestanol,CHEMBL2105291,G03AC04
methylscopolamine and psycholeptics,CHEMBL3091667,A03CB01
eflornithine,CHEMBL830,P01CX03
"gefarnate, combinations with psycholeptics",CHEMBL2105085,A02BX77
"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",CHEMBL191,C09C
Aromatase inhibitors,CHEMBL295392,L02BG
CONTRACEPTIVES FOR TOPICAL USE,CHEMBL2108694,G02B
procaine,CHEMBL1628385,N01BA02
VITAMIN B12 AND FOLIC ACID,CHEMBL2375172,B03B
atenolol,CHEMBL24,C07AB03
fludroxycortide and antibiotics,CHEMBL1628401,D07CC03
Other drugs for treatment of tuberculosis in ATC,CHEMBL218650,J04AK
"isosorbide dinitrate, combinations",CHEMBL6622,C01DA58
bimatoprost,CHEMBL1200963,S01EE03
virginiamycin,CHEMBL3833352,D06AX10
Guanine derivatives acting on arteriolar smooth muscle,CHEMBL35505,C02DG
"palonosetron, combinations",CHEMBL1189679,A04AA55
"Antiallergic intestinal antiinflammatory drugs, excl. corticosteroids",CHEMBL525028,A07EB
Dopamine agonists,CHEMBL1557,N04BC
cefacetrile,CHEMBL2110602,J01DB10
triamcinolone and antiseptics,CHEMBL1200449,D07BB03
meloxicam,CHEMBL599,M01AC06
piribedil,CHEMBL1371770,N04BC08
CORTICOSTEROIDS FOR SYSTEMIC USE,CHEMBL496957,H02
ataluren,CHEMBL256997,M09AX03
retinol,CHEMBL3137697,S01XA02
nimesulide,CHEMBL56367,M02AA26
"Enzymes, hematological",CHEMBL1201718,B06AA
iodine (125I) CC49-monoclonal antibody,CHEMBL1201225,V09IX03
tenonitrozole,CHEMBL1082354,P01AX08
methyltestosterone,CHEMBL1395,G03EK01
terconazole,CHEMBL1306,G01AG02
Other respiratory system products in ATC,CHEMBL3527138,R07AX
cyproterone,CHEMBL3039468,G03HA01
chlortetracycline,CHEMBL404520,D06AA02
anti-D (rh) immunoglobulin,CHEMBL2108759,J06BB01
Other antipsoriatics for systemic use in ATC,CHEMBL496957,D05BX
Other drugs for functional gastrointestinal disorders in ATC,CHEMBL49943,A03AX
calcium carbonate,CHEMBL1200539,A02AC01
"metipranolol, combinations",CHEMBL1200947,S01ED54
ipidacrine,CHEMBL130880,N06DA05
alverine,CHEMBL1408594,A03AX08
suloctidil,CHEMBL588119,C04AX19
corticorelin,CHEMBL2108182,V04CD04
Long-acting sulfonamide combinations,CHEMBL1109,J01ED20
sulfadimidine and trimethoprim,CHEMBL1201080,J01EE05
inosine,CHEMBL1556,D06BB05
cefteram,CHEMBL2105953,J01DD18
ceftazidime,CHEMBL44354,J01DD02
Anticholinesterase anti-dementia drugs,CHEMBL807,N06DA
Other cardiovascular system diagnostic radiopharmaceuticals in ATC,CHEMBL2109038,V09GX
midostaurin,CHEMBL608533,L01XE39
nemonoxacin,CHEMBL1213456,J01MB08
"oxyphenonium, combinations",CHEMBL1201286,A03AB53
tramadol and paracetamol,CHEMBL4059722,N02AJ13
chlorpropamide,CHEMBL498,A10BB02
etofamide,CHEMBL1788393,P01AC03
bezitramide,CHEMBL2104149,N02AC05
cefmenoxime,CHEMBL1201224,J01DD05
acetyldigitoxin,CHEMBL3545057,C01AA01
aprindine,CHEMBL2104501,C01BB04
Other quinolones in ATC,CHEMBL3527138,J01MB
"mephenytoin, combinations",CHEMBL861,N03AB54
amsacrine,CHEMBL1256655,L01XX01
griseofulvin,CHEMBL562,D01BA01
clindamycin,CHEMBL1200588,G01AA10
Other psychostimulants and nootropics in ATC,CHEMBL64545,N06BX
escitalopram,CHEMBL1200322,N06AB10
gastric secretion test diagnostic agents,CHEMBL1201323,V04CG
hidrosmin,CHEMBL3707286,C05CA05
ranolazine,CHEMBL1526084,C01EB18
prednisolone,CHEMBL131,S03BA02
clioquinol,CHEMBL497,P01AA02
NERVOUS SYSTEM DRUGS,CHEMBL1200606,N
triflupromazine,CHEMBL1201102,N05AA05
etynodiol,CHEMBL1200624,G03DC06
donepezil and memantine,CHEMBL807,N06DA52
micafungin,CHEMBL457547,J02AX05
ipriflavone,CHEMBL165790,M05BX01
dactinomycin,CHEMBL1554,L01DA01
nafcillin,CHEMBL1200344,J01CF06
trabectedin,CHEMBL450449,L01CX01
temozolomide,CHEMBL810,L01AX03
cadmium compounds,CHEMBL2074977,D11AC02
dibrompropamidine,CHEMBL30044,D08AC01
Ergot alkaloid peripheral vasodilators,CHEMBL601773,C04AE
cisatracurium,CHEMBL1201248,M03AC11
Bioflavonoid drugs for capillary stabilizing,CHEMBL231884,C05CA
pitavastatin,CHEMBL1201753,C10AA08
BILE THERAPY DRUGS,CHEMBL1258080,A05A
"orphenadrine, combinations",CHEMBL900,M03BC51
sotalol,CHEMBL1700,C07AA07
"ECTOPARASITICIDES, INCL. SCABICIDES",CHEMBL1322884,P03A
arbekacin,CHEMBL426926,J01GB12
plerixafor,CHEMBL18442,L03AX16
diphemanil and psycholeptics,CHEMBL1201340,A03CA08
ceftazidime and beta-lactamase inhibitor,CHEMBL44354,J01DD52
pranlukast,CHEMBL3810125,R03DC02
"risedronic acid and calcium, sequential",CHEMBL4303174,M05BB02
"Amino Acid, Peptide, or Protein",CHEMBL1201652,T116
"iron, vitamin B12 and folic acid",CHEMBL2447909,B03AE01
OTHER DIAGNOSTIC RADIOPHARMACEUTICALS in ATC,CHEMBL2109038,V09X
betamethasone,CHEMBL1697784,S01CB04
denosumab,CHEMBL1237023,M05BX04
amikacin,CHEMBL4208954,S01AA21
methoxyphenamine,CHEMBL1985928,R03CB02
brivudine,CHEMBL285162,J05AB15
otilonium bromide,CHEMBL2103773,A03AB06
phenibut,CHEMBL315818,N06BX22
erdosteine,CHEMBL1697744,R05CB15
indapamide,CHEMBL406,C03BA11
acetylsalicylic acid,CHEMBL25,N02BA01
"methocarbamol, combinations excl. psycholeptics",CHEMBL1201117,M03BA53
technetium (99mTc) medronic acid,CHEMBL1201524,V09BA02
kanamycin,CHEMBL3301664,S01AA24
lactic acid,CHEMBL1200559,G01AD01
valsartan and diuretics,CHEMBL1069,C09DA03
ramipril and diuretics,CHEMBL1168,C09BA05
pramocaine,CHEMBL1198,D04AB07
inosine pranobex,CHEMBL3833327,J05AX05
meglutol,CHEMBL50444,C10AX05
mangafodipir,CHEMBL2096651,V08CA05
nitrendipine,CHEMBL475534,C08CA08
etoposide,CHEMBL44657,L01CB01
terfenadine,CHEMBL17157,R06AX12
mannosulfan,CHEMBL460282,L01AB03
methotrexate,CHEMBL426,L04AX03
streptozocin,CHEMBL1651906,L01AD04
estrone,CHEMBL1405,G03CC04
Dihydropyridine derivative selective calcium channel blockers with mainly vascular effects,CHEMBL193,C08CA
"Triazole derivatives, gynecological antiinfectives and antiseptics",CHEMBL1306,G01AG
Population Group,CHEMBL2108795,T098
biguanide antimalarials,CHEMBL4297654,P01BB
Other antivirals in ATC,CHEMBL3527138,J05AX
Mercurial antiseptic and disinfectant products,CHEMBL2109147,D08AK
trimebutine,CHEMBL190044,A03AA05
fomepizole,CHEMBL1308,V03AB34
lovastatin and nicotinic acid,CHEMBL1201373,C10BA01
agalsidase alfa,CHEMBL2108214,A16AB03
metaraminol,CHEMBL2062262,C01CA09
ganciclovir,CHEMBL182,J05AB06
simfibrate,CHEMBL2105435,C10AB06
ANTIVERTIGO PREPARATIONS,CHEMBL43064,N07C
atenolol and other diuretics,CHEMBL24,C07CB03
Hydroxyquinoline derivatives for amoebiasis and other protozoal diseases,CHEMBL1788385,P01AA
crisaborole,CHEMBL484785,D11AH06
technetium (99mTc) hynic-octreotide,CHEMBL1201524,V09IA07
sacrosidase,CHEMBL1201487,A16AB06
prednisolone and mydriatics,CHEMBL2105774,S01BB02
pomalidomide,CHEMBL43452,L04AX06
prulifloxacin,CHEMBL422648,J01MA17
caffeine and sodium benzoate,CHEMBL1356,V04CG30
"formoterol, glycopyrronium bromide and beclometasone",CHEMBL3989798,R03AL09
ulipristal,CHEMBL2103846,G03AD02
THROAT PREPARATIONS,CHEMBL1201469,R02A
polynoxylin,CHEMBL2108535,D01AE05
prednisolone and antibiotics,CHEMBL2105774,D07CA03
senna glycosides,CHEMBL2108558,A06AB06
silymarin,CHEMBL431701,A05BA03
bemegride,CHEMBL1214192,R07AB05
"nifedipine, combinations",CHEMBL1573,C08CA55
pixantrone,CHEMBL2103844,L01DB11
OTHER DIAGNOSTIC AGENTS in ATC,CHEMBL3527138,V04C
CARDIAC GLYCOSIDES,CHEMBL1651908,C01A
Indium-111 inflammation and infection detection radiopharmaceuticals,CHEMBL1200642,V09HB
Rota virus diarrhea vaccines,CHEMBL2109042,J07BH
oxyphenbutazone,CHEMBL3989676,M01AA03
levonorgestrel and estrogen,CHEMBL1389,G03FA11
melevodopa and decarboxylase inhibitor,CHEMBL1328898,N04BA05
Anatomical Structure,CHEMBL3695484,T017
isotretinoin,CHEMBL2107427,D10BA01
GONADOTROPINS AND OTHER OVULATION STIMULANTS,CHEMBL141305,G03G
Respiratory stimulants,CHEMBL519364,R07AB
"Other blood glucose lowering drugs, excl. insulins in ATC",CHEMBL471498,A10BX
pethidine and antispasmodics,CHEMBL1628401,N02AG03
betamethasone and antiseptics,CHEMBL1697784,D07BC01
ertapenem,CHEMBL1359,J01DH03
pyrantel,CHEMBL1626223,P02CC01
Viscoelastic substances,CHEMBL2108943,S01KA
tropatepine,CHEMBL2107294,N04AA12
bacitracin,CHEMBL1200558,J01XX10
dimefline,CHEMBL519364,R07AB08
"tegafur, combinations",CHEMBL235993,L01BC53
buclizine,CHEMBL1201271,R06AE01
metformin and dapagliflozin,CHEMBL1431,A10BD15
"Amino acids/carbohydrates/minerals/vitamins, combinations",CHEMBL1201498,V06DE
neomycin,CHEMBL3989751,S02AA07
chloropyramine,CHEMBL1194287,R06AC03
magnesium lactate,CHEMBL3707281,A12CC06
theobromine,CHEMBL1114,R03DA07
tiratricol,CHEMBL41632,H03AA04
nicotinyl alcohol,CHEMBL1235535,C04AC02
metformin and gemigliptin,CHEMBL1431,A10BD18
bambuterol,CHEMBL521589,R03CC12
artesunate and amodiaquine,CHEMBL682,P01BF03
fluoxetine and psycholeptics,CHEMBL1201082,N06CA03
bisoxatin,CHEMBL2106004,A06AB09
ANTITREMATODALS,CHEMBL1788389,P02B
"dantron, combinations",CHEMBL53418,A06AB53
"nikethamide, combinations",CHEMBL2104607,R07AB52
dexfenfluramine,CHEMBL248702,A08AA04
tetragalacturonic acid hydroxymethylester,CHEMBL3707283,B02BC03
pioglitazone,CHEMBL595,A10BG03
iloprost,CHEMBL494,B01AC11
Sodium supplements,CHEMBL93268,A12CA
methoxamine,CHEMBL1201103,C01CA10
hachimycin,CHEMBL2108203,J02AA02
isoxsuprine,CHEMBL1197051,C04AA01
Vitamin,CHEMBL1550,T127
albendazole,CHEMBL1483,P02CA03
hydroxyprogesterone,CHEMBL302529,G03DA03
ramelteon,CHEMBL1218,N05CH02
delapril,CHEMBL589583,C09AA12
calcitonin (pork natural),CHEMBL3989767,H05BA02
zofenopril,CHEMBL2105776,C09AA15
procarbazine,CHEMBL1321,L01XB01
mianserin,CHEMBL544428,N06AX03
OTHER NERVOUS SYSTEM DRUGS in ATC,CHEMBL3527138,N07X
hexachlorophene,CHEMBL496,D08AE01
thrombin,CHEMBL2108110,B02BC06
"isotretinoin, combinations",CHEMBL2107427,D10AD54
bleomycin,CHEMBL403664,L01DC01
mesterolone,CHEMBL258918,G03BB01
Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) in ATC,CHEMBL1201186,A02BX
povidone-iodine,CHEMBL1201724,D08AG02
nifedipine,CHEMBL193,C08CA05
gadoteric acid,CHEMBL3833326,V08CA02
ethambutol and isoniazid,CHEMBL64,J04AM03
"Selective beta-2-adrenoreceptor agonists, systemic",CHEMBL299175,R03CC
risedronic acid and colecalciferol,CHEMBL4303174,M05BB07
"Quinoline derivatives, antiseptics and disinfectants",CHEMBL333826,D08AH
"olmesartan medoxomil, amlodipine and hydrochlorothiazide",CHEMBL1200692,C09DX03
"Solvents and diluting agents, incl. irrigating solutions",CHEMBL3508697,V07AB
"emetine, combinations",CHEMBL50588,P01AX52
Wart and anti-corn preparations,CHEMBL2108243,D11AF
levofloxacin and ornidazole,CHEMBL2237108,J01RA05
tuaminoheptane,CHEMBL123693,R01AA11
asunaprevir,CHEMBL2105735,J05AP06
"Beta blocking agents, non-selective, thiazides and other diuretics",CHEMBL546,C07DA
rifaximin,CHEMBL1617,A07AA11
"Protein kinase inhibitors, antineoplastic drugs",CHEMBL1201652,L01XE
pramocaine,CHEMBL1198,C05AD07
Other antiinflammatory therapeutic radiopharmaceuticals in ATC,CHEMBL3527138,V10AX
Drugs used in nicotine dependence,CHEMBL497939,N07BA
Combinations of antibacterials,CHEMBL1200718,J01RA
diiodohydroxyquinoline,CHEMBL86754,G01AC01
nicergoline,CHEMBL1372950,C04AE02
potassium permanganate,CHEMBL3833305,D08AX06
"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",CHEMBL1201574,M03A
mosapramine,CHEMBL2106650,N05AX10
"Imidazole derivatives, intestinal antiinfectives",CHEMBL525028,A07AC
INTESTINAL ADSORBENTS,CHEMBL525028,A07B
"medicinal charcoal, combinations",CHEMBL2106049,A07BA51
Benzamide antipsychotics,CHEMBL267373,N05AL
tetracycline and oleandomycin,CHEMBL454950,J01RA08
benproperine,CHEMBL2105910,R05DB02
various allergen extracts,CHEMBL2074687,V01AA20
hexapropymate,CHEMBL2104292,N05CM10
technetium (99mTc) nanocolloid,CHEMBL1201524,V09EA03
NASAL DECONGESTANTS FOR SYSTEMIC USE,CHEMBL496957,R01B
desonide,CHEMBL1201109,S01BA11
ertugliflozin,CHEMBL1770248,A10BK04
potassium hydrogentartrate,CHEMBL2028510,A12BA03
perampanel,CHEMBL1214124,N03AX22
"Antiallergic nasal preparations for topical use, excl. corticosteroids",CHEMBL746,R01AC
"Antiinflammatory agents, non-steroidal, ophthalmologic",CHEMBL3037809,S01BC
tamoxifen,CHEMBL83,L02BA01
Other anticestodals in ATC,CHEMBL3527138,P02DX
potassium iodide,CHEMBL1141,R05CA02
"ombitasvir, paritaprevir and ritonavir",CHEMBL3391662,J05AP53
calcium pantothenate,CHEMBL1901349,D03AX04
peginterferon alfa-2a,CHEMBL1201560,L03AB11
sulfanilamide,CHEMBL3038236,D06BA05
palonosetron,CHEMBL1189679,A04AA05
Beta blocking agents and calcium channel blockers,CHEMBL92870,C07FB
"Sulfonamides, ophthalmologic antiinfectives",CHEMBL1200359,S01AB
lypressin,CHEMBL1200690,H01BA03
cetiedil,CHEMBL419380,C04AX26
acipimox,CHEMBL345714,C10AD06
ranibizumab,CHEMBL1201825,S01LA04
"dihydroergotamine, combinations",CHEMBL1200517,N02CA51
"Fluoroquinolone antibacterials, systemic",CHEMBL1276635,J01MA
Intermediate-acting sulfonamide combinations,CHEMBL3544515,J01EC20
megestrol and estrogen,CHEMBL1201139,G03FA08
ceruletide,CHEMBL1201355,V04CC04
Other anti-dementia drug combinations in ATC,CHEMBL3527138,N06DX30
dronedarone,CHEMBL1201729,C01BD07
nitroxoline,CHEMBL1454910,J01XX07
irinotecan,CHEMBL3989514,L01XX19
sulfaphenazole,CHEMBL1109,J01ED08
mepacrine,CHEMBL3277743,P01AX05
coagulation factor X,CHEMBL4297951,B02BD13
cefotetan,CHEMBL474579,J01DC05
ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,CHEMBL1200642,A03C
fibrinolysin and desoxyribonuclease,CHEMBL1201459,B06AA02
IMMUNOSTIMULANTS,CHEMBL472562,L03A
ornidazole,CHEMBL1449676,P01AB03
cyclobarbital,CHEMBL2106556,N05CA10
Rubella vaccines,CHEMBL2109225,J07BJ
loracarbef,CHEMBL1200610,J01DC08
eperisone,CHEMBL1902981,M03BX09
aldesleukin,CHEMBL1201438,L03AC01
ipilimumab,CHEMBL1789844,L01XC11
rescinnamine and diuretics,CHEMBL1668,C02LA02
"Purine derivatives, peripheral vasodilators",CHEMBL628,C04AD
cetrorelix,CHEMBL2103735,H01CC02
sermorelin,CHEMBL1201490,H01AC04
boceprevir,CHEMBL218394,J05AP03
bumetanide and potassium-sparing agents,CHEMBL1072,C03EB02
"Phenylpiperidine derivatives, opioid analgesics",CHEMBL47072,N02AB
Second-generation cephalosporins,CHEMBL474579,J01DC
golimumab,CHEMBL1201833,L04AB06
hydrocortisone,CHEMBL389621,H02AB09
anthrax antigen,CHEMBL2108573,J07AC01
pramipexole,CHEMBL1201343,N04BC05
eribulin,CHEMBL1683590,L01XX41
iprindole,CHEMBL126224,N06AA13
carbasalate calcium,CHEMBL3833325,B01AC08
etoricoxib,CHEMBL416146,M01AH05
